Word,Eng
状態,situation
たくさん,a lot
女,woman
国,Country
生活,life
質問,question
社長,president
子供,child
1週間,1 week
世界,world
種類,kinds
ケース,Case
問題,problem
事実,fact
家族,family
ストーリー,story
ポイント,point
政府,government
お金,money
問題,problem
一部,part
朝,morning
男,Man
数,number
仕事,work
夜,night
右,right
学校,school
場所,place
戦争,war
キッド,Kid
月,Month
ブック,book
1時間,One hour
ショー,show
警察,police
プログラム,program
パーティー,party
法律,law
単語,word
人,Man
ホーム,home
ビジネス,business
友人,friend
会社,company
サイド,side
税,Tax
民主党,Democratic Party
グループ,group
瞬間,moment
ブレーク,break
アイデア,idea
メンバー,member
システム,system
分,Part
理由,reason
キャンペーン,campaign
仕事,work
国家,Nation
議会,Parliament
母親,mother
力,Power
健康,health
バック,back
エリア,area
名前,name
レポート,Report
手,hand
ライン,line
終わり,end
裁判所,court
介護,nursing
カップル,Couple
家,House
アメリカン,American
父,father
状況,situation
車,car
親,parent
管理,management
薬,medicine
街,Town
感覚,feelings
ポリシー,policy
オフィス,office
決定,Decision
パワー,power
計画,plan
リーダー,leader
情報,information
選挙,selection
映画,movie
死,death
空気,air
コー​​ル,Chorus
コミュニティ,community
外観,exterior
証拠,evidence
女の子,girl
医者,doctor
投票,vote
ビデオ,video
絵,picture
部屋,room
ビット,bit
経済,economic
電話,phone
歴史,history
ソート,sort
少年,boy
犯罪,crime
プロセス,process
妻,wife
音楽,music
水,water
サービス,service
記録,record
セキュリティ,Security
トーク,Talk
心,heart
頭,Head
候補者,candidate
公式,official
カメラ,camera
学生,student
攻撃,attack
チャンス,chance
ゲーム,game
赤ちゃん,baby
南,South
変更,change
トライアル,trial
ボディ,body
市場,market
スタッフ,staff
関心,interest
武器,weapon
心,heart
息子,son
チーム,team
町,town
テレビ,tv set
意志,will
軍隊,army
裁判官,judge
アクション,action
答え,answer
ポジション,position
ビュー,View
違い,difference
食べ物,food
娘,daughter
レース,race
取引,transaction
ストリート,Street
価格,price
メッセージ,message
コントロール,Control
ディベート,debate
役員,board member
フィルム,the film
レベル,level
努力,effort
関係,relationship
特派員,Correspondent
地面,Ground
作品,the work
夫,husband
予算,budget
陪審,jury
レポーター,Reporter
週末,weekend
問題,problem
年齢,age
銃,gun
平和,peace
殺人,murder
役割,role
調査,investigation
経験,experience
病院,hospital
目,eye
ディレクター,director
未来,future
顔,face
オイル,oil
結果,result
公共,public
弁護士,lawyer
世論調査,poll
チャンス,chance
産業,industry
兄,older brother
声明,statement
火災,fire
愛,Love
レート,rate
効果,effect
歌,song
責任,responsibility