symbols,translation
사람들,people
시간,hour
년,year
일,thing
사실,actually
하루,day
사람,person
상태,situation
생활,life
많은,many
국가,nation
질문,question
대통령,president
아이,kid
주,main
세계,world
종류,type
경우,case
문제,problem
돈,money
가족,family
이야기,story
포인트,point
정부,government
문제,problem
부분,part time job
아침,morning
사람,person
수,number
작업,work
밤,night
오른쪽,right
학교,school
장소,location
전쟁,War
아이,kid
달,moon
책,book
시간,hour
쇼,show
경찰,police
프로그램,program
파티,party
법,law
단어,word
사람,person
홈,home
사업,business
친구,friend
회사,company
측면,side
세금,tax
민주당,democrats
그룹,group
순간,Moment
휴식,rest
아이디어,idea
회원,member
시스템,system
분,minute
이유,reason
캠페인,campaign
작업,work
국가,nation
의회,Parliament
어머니,mother
힘,strength
건강,health
다시,again
지역,region
이름,name
보고서,report
손,hand
선,line
말,word
법원,court
치료,therapy
부부,married couple
집,house
미국,USA
아버지,father
상황,situation
자동차,automobile
부모,parents
관리,management
약물,drug
도시,city
의미,meaning
정책,Policy
사무실,office
결정,decision
전원,everyone
계획,plan
리더,leader
정보,information
선거,election
영화,movie
죽음,death
공기,air
지역 사회,Community
모양,shape
증거,evidence
소녀,girl
의사,doctor
투표,vote
비디오,video
사진,picture
방,room
비트,beat
경제,economy
전화,phone call
역사,history
정렬,Sort
소년,boy
범죄,crime
과정,procedure
아내,wife
음악,music
물,water
서비스,service
기록,record
보안,security
이야기,story
마음,mind
머리,head
후보,candidate
공식,official
카메라,camera
학생,student
공격,attack
기회,opportunity
게임,game
아기,baby
남쪽,South
변경,change
재판,trial
몸,body
시장,market
물건,thing
관심,interest
무기,weapon
심장,heart
아들,son
팀,team
마을,Town
텔레비전,television
의지,will
군대,army
판사,judge
음식,food
딸,daughter
레이스,race
거래,transaction
거리,distance
가격,price
메시지,message
제어,control
토론,debate
경찰,police
필름,film
수준,level
노력,effort
관계,relationship
특파원,Correspondent
땅,earth
조각,piece
남편,husband
예산,budget
배심원,juror
기자,reporter
주말,weekend
문제,problem
나이,age
총,gun
평화,peace
살인,Murder
역할,role
조사,inspection
경험,experience
병원,hospital
눈,eye
감독,director
미래,future
얼굴,face
오일,oil
결과,result
변호사,lawyer
공개,open
설문 조사,Poll
두 번째,second
기회,opportunity
업계,Industry
형제,sibling
문,door
화재,fire
사랑,love
속도,speed
효과,effect
노래,sing
이벤트,event